Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
31-07-2012,313.7794154,315.6594599,307.15227,314.108429,380027,0.0,0,INDUSINDBK
01-08-2012,314.8604194,315.2834122,309.2672764,310.1603088,374441,0.0,0,INDUSINDBK
02-08-2012,305.1311456,309.1262391,305.0371377,306.7761841,213170,0.0,0,INDUSINDBK
03-08-2012,306.8232196,306.8232196,300.8070836,303.5331421,539065,0.0,0,INDUSINDBK
06-08-2012,307.9982292,314.9073972,301.371085,303.2511292,685224,0.0,0,INDUSINDBK
07-08-2012,304.6611363,308.3272163,302.6400947,307.6691895,647479,0.0,0,INDUSINDBK
08-08-2012,308.0922138,310.4892584,303.2511062,304.5201416,495821,0.0,0,INDUSINDBK
09-08-2012,308.2802934,308.2802934,301.2771165,306.1182251,268794,0.0,0,INDUSINDBK
10-08-2012,303.0631576,306.8702648,301.9351481,303.1571655,512898,0.0,0,INDUSINDBK
13-08-2012,303.1571457,308.7032707,301.0890855,308.1392517,368743,0.0,0,INDUSINDBK
14-08-2012,307.3872114,314.2023713,306.4471894,313.0273438,322695,0.0,0,INDUSINDBK
16-08-2012,313.1683615,317.492469,311.1473197,312.7923584,361256,0.0,0,INDUSINDBK
17-08-2012,314.7664314,317.7274955,311.1943299,313.2623901,289583,0.0,0,INDUSINDBK
21-08-2012,314.7193685,314.7193685,307.481216,312.1343079,240240,0.0,0,INDUSINDBK
22-08-2012,310.6773342,319.2315419,308.6562923,316.9754944,679602,0.0,0,INDUSINDBK
23-08-2012,317.7274835,319.4195119,310.2073064,310.912323,323400,0.0,0,INDUSINDBK
24-08-2012,312.7923583,312.7923583,306.447209,308.7502747,240596,0.0,0,INDUSINDBK
27-08-2012,308.3272309,309.7842536,305.1781513,306.1651917,133346,0.0,0,INDUSINDBK
28-08-2012,305.5072059,306.7292232,297.7050333,299.9140625,263040,0.0,0,INDUSINDBK
29-08-2012,298.8800716,299.6790675,291.8299051,296.1069946,551030,0.0,0,INDUSINDBK
30-08-2012,296.1069838,297.9870282,292.1588792,295.1669617,444732,0.0,0,INDUSINDBK
31-08-2012,295.2139703,300.3371029,294.0859608,297.5640259,235817,0.0,0,INDUSINDBK
03-09-2012,298.410053,301.7471203,294.7439436,296.0599976,126555,0.0,0,INDUSINDBK
04-09-2012,296.1069267,298.2689658,294.0388669,296.7649536,156832,0.0,0,INDUSINDBK
05-09-2012,295.5900129,297.4230391,292.299935,293.756958,284456,0.0,0,INDUSINDBK
06-09-2012,294.6969571,296.1069904,292.2528937,293.8039246,778289,0.0,0,INDUSINDBK
07-09-2012,295.6839271,299.3970257,294.2269044,297.4229736,937939,0.0,0,INDUSINDBK
10-09-2012,298.7860598,300.1020852,293.2869243,294.5089417,231908,0.0,0,INDUSINDBK
11-09-2012,293.2399022,293.2868918,290.4668255,291.6888428,541666,0.0,0,INDUSINDBK
12-09-2012,294.2269203,294.6969313,289.6208177,292.7698975,285118,0.0,0,INDUSINDBK
13-09-2012,292.7699588,296.5770377,289.9968815,291.5479126,482571,0.0,0,INDUSINDBK
14-09-2012,296.1069968,300.9951238,294.2269524,299.6320801,1689775,0.0,0,INDUSINDBK
17-09-2012,306.2592116,330.887804,301.136108,310.4423218,792250,0.0,0,INDUSINDBK
18-09-2012,310.865352,315.6594423,308.6092758,312.6043701,508258,0.0,0,INDUSINDBK
20-09-2012,309.7372929,313.8733846,306.7292106,311.4293213,374580,0.0,0,INDUSINDBK
21-09-2012,316.7874318,319.3724925,312.7453485,317.5864563,1434284,0.0,0,INDUSINDBK
24-09-2012,315.4244071,325.2476496,315.4244071,324.5426331,954686,0.0,0,INDUSINDBK
25-09-2012,326.8927215,329.0077715,322.8036192,324.0256653,530730,0.0,0,INDUSINDBK
26-09-2012,322.803613,327.3157367,321.0175766,322.9446106,248445,0.0,0,INDUSINDBK
27-09-2012,323.4615991,325.7176463,319.9365163,322.7095642,289429,0.0,0,INDUSINDBK
28-09-2012,323.5556745,335.587948,323.5086562,333.9898987,969469,0.0,0,INDUSINDBK
01-10-2012,337.3270016,343.1081329,333.7079101,341.2280884,593267,0.0,0,INDUSINDBK
03-10-2012,342.2620216,348.2781568,342.2620216,347.3381348,674917,0.0,0,INDUSINDBK
04-10-2012,349.6882383,353.4483269,347.6671964,348.8422241,311655,0.0,0,INDUSINDBK
05-10-2012,348.8421653,352.2262502,339.8179485,347.1031189,529836,0.0,0,INDUSINDBK
08-10-2012,346.1161033,348.6071558,342.9670239,346.7271118,465196,0.0,0,INDUSINDBK
09-10-2012,346.7271541,352.3202683,342.3560571,343.8130798,519176,0.0,0,INDUSINDBK
10-10-2012,347.8082024,347.8082024,333.8018778,336.2459412,2407178,0.0,0,INDUSINDBK
11-10-2012,336.1989634,343.8601393,336.1989634,341.2280884,1009289,0.0,0,INDUSINDBK
12-10-2012,343.625087,349.5942334,342.2620721,343.7661133,734639,0.0,0,INDUSINDBK
15-10-2012,344.0950758,346.3981415,337.8439347,339.9589844,456739,0.0,0,INDUSINDBK
16-10-2012,341.6980191,341.6980191,331.592782,333.0498047,431947,0.0,0,INDUSINDBK
17-10-2012,334.0368433,337.3269205,332.8618157,336.7159119,271780,0.0,0,INDUSINDBK
18-10-2012,339.7710256,343.1080928,334.6948829,342.4030762,578609,0.0,0,INDUSINDBK
19-10-2012,341.8390227,342.1680362,338.5019558,340.8049927,264643,0.0,0,INDUSINDBK
