Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
02-01-2012,151.0506344,151.9830457,146.2020984,148.2161102,9727265,0.0,0,AXISBANK
03-01-2012,150.1368914,156.99944,149.8664841,156.1882324,10710050,0.0,0,AXISBANK
04-01-2012,157.5402336,159.628826,155.1346105,158.1649475,16936750,0.0,0,AXISBANK
05-01-2012,158.3234512,163.8806149,157.5868382,162.3607941,16901170,0.0,0,AXISBANK
06-01-2012,160.8968986,161.4936413,155.9551156,159.1626129,12345325,0.0,0,AXISBANK
09-01-2012,158.6964334,161.00881,155.7313717,160.0391083,8763275,0.0,0,AXISBANK
10-01-2012,162.0530981,167.2745933,161.5122978,166.855011,9827090,0.0,0,AXISBANK
11-01-2012,167.461093,176.6826412,166.5473196,174.1091766,15532065,0.0,0,AXISBANK
12-01-2012,173.6149913,180.5987575,172.8597404,175.3865814,17759615,0.0,0,AXISBANK
13-01-2012,176.9437262,178.2677487,173.1581379,175.2374115,12004280,0.0,0,AXISBANK
16-01-2012,174.1744442,175.1068555,171.0228892,174.407547,9907110,0.0,0,AXISBANK
17-01-2012,175.8527757,182.7339614,175.8527757,179.4425507,13262725,0.0,0,AXISBANK
18-01-2012,179.7689149,180.691993,173.4471669,174.0345764,9206400,0.0,0,AXISBANK
19-01-2012,176.2257424,179.2467602,175.8993927,178.099884,8891125,0.0,0,AXISBANK
20-01-2012,179.4145949,190.2119203,178.1744861,188.1699371,24622520,0.0,0,AXISBANK
23-01-2012,189.6524779,193.5313128,184.7666511,185.9135132,17972105,0.0,0,AXISBANK
24-01-2012,185.9228064,195.0604399,183.5078645,192.5615845,35059620,0.0,0,AXISBANK
25-01-2012,193.7177671,200.6362573,190.3144715,198.3518524,22249770,0.0,0,AXISBANK
27-01-2012,200.2819731,201.2889791,196.9905619,200.1048126,13897305,0.0,0,AXISBANK
30-01-2012,199.498743,199.498743,189.7084236,190.8552856,10052175,0.0,0,AXISBANK
31-01-2012,193.0091578,202.8927243,192.2539069,200.4777679,11015795,0.0,0,AXISBANK
01-02-2012,200.3751865,203.6945828,196.4217716,202.9113464,11137960,0.0,0,AXISBANK
02-02-2012,204.0116152,206.7529069,198.3332332,200.6362762,14033335,0.0,0,AXISBANK
03-02-2012,200.7854402,206.8740846,197.8949737,205.0092621,10598495,0.0,0,AXISBANK
06-02-2012,207.7412516,208.5617639,204.7482049,207.0046387,14412175,0.0,0,AXISBANK
07-02-2012,209.773901,209.773901,204.9440171,207.6666565,8583245,0.0,0,AXISBANK
08-02-2012,208.4871863,212.8042413,205.6246766,210.2028198,14835090,0.0,0,AXISBANK
09-02-2012,207.8717917,212.9254595,206.2960142,211.5641327,11535310,0.0,0,AXISBANK
10-02-2012,209.979021,213.3170552,205.484806,208.4964905,8307250,0.0,0,AXISBANK
13-02-2012,208.8601454,210.3053859,206.7155965,208.1794891,7383195,0.0,0,AXISBANK
14-02-2012,208.4871774,211.2844113,207.2284164,210.6596832,6966125,0.0,0,AXISBANK
15-02-2012,212.9627379,229.3731827,212.6084313,227.6948395,17640965,0.0,0,AXISBANK
16-02-2012,224.7391196,230.3056168,222.8463256,228.310257,12640000,0.0,0,AXISBANK
17-02-2012,232.7298602,241.4945205,231.2379965,238.361618,14647050,0.0,0,AXISBANK
21-02-2012,236.6459757,244.0026999,236.4874675,240.1145325,10165915,0.0,0,AXISBANK
22-02-2012,239.8721568,241.196165,224.5246595,226.7717743,15713830,0.0,0,AXISBANK
23-02-2012,225.6435453,232.1704247,223.0327907,227.0794525,15500985,0.0,0,AXISBANK
24-02-2012,227.0981209,232.4594866,219.3311322,220.6924591,15228050,0.0,0,AXISBANK
27-02-2012,220.9814939,221.5129752,206.062912,207.8344879,15257535,0.0,0,AXISBANK
28-02-2012,210.6317308,221.5409556,208.888126,218.2868347,15690705,0.0,0,AXISBANK
29-02-2012,221.9138755,225.5596069,216.3660315,219.6294708,12705420,0.0,0,AXISBANK
01-03-2012,219.1166635,219.1166635,211.1725149,214.9954071,7889280,0.0,0,AXISBANK
02-03-2012,217.2425386,225.4384286,213.4196461,217.5595551,15092035,0.0,0,AXISBANK
05-03-2012,217.2518545,217.9977865,213.1026267,214.4546204,6837555,0.0,0,AXISBANK
06-03-2012,214.2494774,223.7787224,206.2027629,213.9884033,19573025,0.0,0,AXISBANK
07-03-2012,212.5897764,218.1749252,210.8648098,217.2238617,11241830,0.0,0,AXISBANK
09-03-2012,221.72743,227.3218983,220.9814981,226.2775879,11864430,0.0,0,AXISBANK
12-03-2012,233.102853,234.5294413,226.2309854,228.4407959,9704070,0.0,0,AXISBANK
13-03-2012,231.2380297,232.8231263,230.5573734,231.3499146,9112190,0.0,0,AXISBANK
14-03-2012,235.9000757,239.3872851,234.6413147,237.587738,13528020,0.0,0,AXISBANK
15-03-2012,237.7648723,237.9513517,230.0445082,231.6855469,9495920,0.0,0,AXISBANK
16-03-2012,230.2123739,238.6040767,224.4221069,226.7997589,14114215,0.0,0,AXISBANK
19-03-2012,228.9909207,230.8650768,221.6435283,223.5829315,9065365,0.0,0,AXISBANK
20-03-2012,223.7787249,227.7414731,220.0677317,221.2332458,10887380,0.0,0,AXISBANK
21-03-2012,220.9814916,231.7881358,220.6365039,229.1400909,11350050,0.0,0,AXISBANK
22-03-2012,230.3522422,231.8534251,218.0164432,219.3964081,10643525,0.0,0,AXISBANK
23-03-2012,221.6901133,224.2449255,214.8648697,219.9278564,13980440,0.0,0,AXISBANK
26-03-2012,219.0980322,219.0980322,208.8601588,209.8205414,11354425,0.0,0,AXISBANK
27-03-2012,215.2005351,216.5059053,208.3100161,212.8695068,14738350,0.0,0,AXISBANK
28-03-2012,210.7249455,212.1888381,206.6689509,208.0395966,9845400,0.0,0,AXISBANK
29-03-2012,204.7854917,212.142216,204.2353582,209.2424164,13693150,0.0,0,AXISBANK
30-03-2012,211.1911596,214.827558,210.7249539,213.7459717,12982690,0.0,0,AXISBANK
02-04-2012,209.979033,216.5991592,209.979033,215.3497314,8658330,0.0,0,AXISBANK
