Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
02-01-2012,214.9371701,215.2350764,207.5888967,209.4011383,964766,0.0,0,KOTAKBANK
03-01-2012,211.2629972,225.2396178,211.2629972,223.4025574,2153928,0.0,0,KOTAKBANK
04-01-2012,222.9308913,222.9308913,216.7245747,218.1396179,1220318,0.0,0,KOTAKBANK
05-01-2012,218.4623443,222.434387,214.5151209,221.1683044,2796070,0.0,0,KOTAKBANK
06-01-2012,218.9588456,228.888952,218.9588456,225.3885956,1879586,0.0,0,KOTAKBANK
09-01-2012,222.0123538,226.8036271,221.0193431,225.0162201,1320384,0.0,0,KOTAKBANK
10-01-2012,226.4064447,233.2333934,226.0092465,231.619751,1079256,0.0,0,KOTAKBANK
11-01-2012,231.6197467,233.3326962,227.8959565,230.999115,932130,0.0,0,KOTAKBANK
12-01-2012,229.5095846,237.3295434,229.1372056,231.9921112,2284698,0.0,0,KOTAKBANK
13-01-2012,233.3326944,236.2868921,228.8889655,234.6235962,1339660,0.0,0,KOTAKBANK
16-01-2012,232.7865342,235.8400391,226.9029429,229.0627441,1265000,0.0,0,KOTAKBANK
17-01-2012,230.3784868,237.9501936,230.3784868,236.7337494,2014240,0.0,0,KOTAKBANK
18-01-2012,237.230228,238.2232386,226.456072,229.7081757,1576612,0.0,0,KOTAKBANK
19-01-2012,231.9920908,235.8400067,230.8749539,235.4924469,1563228,0.0,0,KOTAKBANK
20-01-2012,237.3295609,247.3837944,233.6305899,245.4225922,3292736,0.0,0,KOTAKBANK
23-01-2012,246.7134865,248.252656,235.4676442,236.9819794,2644214,0.0,0,KOTAKBANK
24-01-2012,237.9253961,247.5079443,234.6732766,246.1673737,2738496,0.0,0,KOTAKBANK
25-01-2012,247.2100188,247.2596724,239.3155865,246.0432281,2125174,0.0,0,KOTAKBANK
27-01-2012,248.5009132,249.2456712,240.0603227,244.7523041,1515064,0.0,0,KOTAKBANK
30-01-2012,241.624306,245.3480958,235.8648414,237.5281372,1043622,0.0,0,KOTAKBANK
31-01-2012,238.3225651,248.2526719,237.7267526,247.4334412,1053672,0.0,0,KOTAKBANK
01-02-2012,247.2596572,254.2107319,244.2806252,253.6894073,2743002,0.0,0,KOTAKBANK
02-02-2012,254.7072203,255.8988452,247.3837671,253.7390289,2915568,0.0,0,KOTAKBANK
03-02-2012,253.8383823,258.1828045,248.2278774,257.5373535,2090442,0.0,0,KOTAKBANK
06-02-2012,260.1687712,260.6652765,254.7320322,258.3316956,979276,0.0,0,KOTAKBANK
07-02-2012,259.1757792,267.368117,256.6932526,265.8786011,2161580,0.0,0,KOTAKBANK
08-02-2012,265.1338009,267.6163271,261.7575713,264.7366028,1492832,0.0,0,KOTAKBANK
09-02-2012,262.2789123,275.5604285,262.2789123,273.6488953,2242572,0.0,0,KOTAKBANK
10-02-2012,273.5744506,277.5464934,268.7335234,271.4394836,4218446,0.0,0,KOTAKBANK
13-02-2012,273.0779149,283.0080209,270.3471357,281.3943787,1933160,0.0,0,KOTAKBANK
14-02-2012,280.6744661,282.7349754,276.8017304,277.9685059,1388650,0.0,0,KOTAKBANK
